id,name,voltage_kv,cables,operator,capacity_mw,start_lon,start_lat,end_lon,end_lat,length_km
338856354,Chiaramonte Gulfi-Favara,220.0,3,unknown,700,14.6414154,37.0776376,14.6414027,37.0781661,0.06
338856355,Line_338856355,220.0,3,unknown,700,14.6413528,37.0784073,14.6424935,37.078342,0.1
338856358,Chiaramonte Gulfi-Ragusa/1-2,220.0,6,unknown,700,14.6817674,36.8814742,14.6421747,37.0778147,22.76
338856361,Line_338856361,220.0,3,unknown,700,14.6415964,37.0785217,14.6415597,37.0781474,0.04
338856363,Line_338856363,380.0,3,unknown,1500,14.6439706,37.0794367,14.6414923,37.0795895,0.22
338856365,Chiaramonte Gulfi-Ragusa/2,220.0,3,unknown,700,14.6421747,37.0778147,14.6423476,37.0780946,0.03
338856366,Line_338856366,380.0,unknown,unknown,1500,14.6417963,37.0789359,14.6418561,37.0795671,0.07
338856369,Line_338856369,380.0,unknown,unknown,1500,14.6421063,37.0795517,14.6423408,37.079351,0.1
338856542,Line_338856542,150.0,3,unknown,300,14.6427879,37.0788815,14.6427261,37.0783259,0.06
338856543,Line_338856543,380.0,unknown,unknown,1500,14.6428414,37.0795063,14.6427879,37.0788815,0.07
338856544,Line_338856544,380.0,unknown,unknown,1500,14.643348,37.0794751,14.6432748,37.0788389,0.07
338900786,Bellolampo-Partinico,220.0,3,unknown,700,13.2815129,38.1285803,13.2825644,38.1286167,0.09
338900787,Line_338900787,150.0,3,unknown,300,13.2838942,38.1284369,13.2833719,38.1283979,0.05
338900788,Line_338900788,220.0,3,unknown,700,13.2832216,38.1286216,13.2828388,38.1285521,0.03
338900789,Line_338900789,220.0,3,unknown,700,13.2834389,38.1281701,13.2829721,38.1280936,0.04
338900790,Line_338900790,220.0,3,unknown,700,13.2832056,38.1277987,13.2829347,38.1287397,0.11
338900791,Line_338900791,220.0,3,unknown,700,13.2834978,38.1279438,13.2830396,38.1278616,0.04
338900792,Line_338900792,150.0,3,unknown,300,13.2838412,38.1286089,13.2841765,38.1275202,0.12
338900793,Line_338900793,220.0,6,unknown,700,13.2824173,38.1279611,13.7312312,37.9661832,50.68
338900794,Line_338900794,220.0,3,unknown,700,13.2830634,38.1277797,13.2827898,38.1287208,0.11
338900795,Line_338900795,150.0,3,unknown,300,13.2842918,38.1277987,13.2839801,38.1277405,0.03
338900797,Bellolampo-Caracoli,220.0,3,unknown,700,13.2824173,38.1279611,13.2827093,38.1281616,0.03
338900798,Line_338900798,220.0,3,unknown,700,13.2830139,38.1284646,13.2826396,38.1283874,0.03
338900799,Line_338900799,220.0,3,unknown,700,13.2833719,38.1283979,13.2829083,38.1283132,0.04
338900800,Line_338900800,150.0,3,unknown,300,13.2837259,38.128592,13.284053,38.1274965,0.13
338900801,Line_338900801,150.0,3,unknown,300,13.2839504,38.1282544,13.2834389,38.1281701,0.05
338900802,Line_338900802,150.0,3,unknown,300,13.2840124,38.128053,13.2834978,38.1279438,0.05
338901263,Line_338901263,220.0,3,unknown,700,13.7311798,37.9676959,13.7313196,37.9682118,0.06
338901264,Corriolo-Caracoli,220.0,3,Terna S.p.A.,700,13.7326653,37.9662933,13.7328779,37.9672398,0.11
338901265,Line_338901265,150.0,6,unknown,300,13.7293803,37.966977,13.7279081,37.9613536,0.64
338901266,Line_338901266,150.0,3,unknown,300,13.7310748,37.9687829,13.7307229,37.9688421,0.03
338901267,Line_338901267,220.0,unknown,unknown,700,13.7322495,37.9675268,13.732325,37.9677883,0.03
338901268,Line_338901268,220.0,3,unknown,700,13.7321717,37.9676641,13.7320974,37.9673607,0.03
338901269,Line_338901269,220.0,3,unknown,700,13.7309521,37.9677319,13.7331863,37.9673788,0.2
338901270,Line_338901270,220.0,3,unknown,700,13.7309869,37.9678482,13.7332185,37.9675014,0.2
338901271,Derivazione Termini FS,150.0,3,unknown,300,13.7060512,37.9790095,13.7073975,37.9652646,1.63
338901272,Line_338901272,220.0,3,unknown,700,13.7330407,37.9674018,13.7331731,37.9679243,0.06
338901273,Bellolampo-Caracoli,220.0,3,unknown,700,13.7312312,37.9661832,13.7315578,37.9674509,0.14
338901274,Line_338901274,150.0,3,unknown,300,13.7311603,37.9691199,13.7315971,37.9685221,0.11
338901275,Termini Imerese Centrale-Caracoli,220.0,3,unknown,700,13.7325779,37.9692337,13.7320169,37.9678451,0.16
338901276,Line_338901276,220.0,3,unknown,700,13.7328024,37.9674394,13.7329368,37.9679586,0.06
338901277,Line_338901277,220.0,3,unknown,700,13.7327048,37.9675812,13.7326417,37.9672767,0.03
338901278,Ciminna-Caracoli,220.0,3,unknown,700,13.7315904,37.9661323,13.7317861,37.9674189,0.14
