flowdate,market,hour,period,from,to,maxtransmissionlimitfrom,maxtransmissionlimitto,coefficient
20251220,MGP,4,16,COUP,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,4,16,COUP,XAUS,165.0000,337.0000,0.0000
20251220,MGP,4,16,COUP,XFRA,2160.0000,3826.0000,0.0000
20251220,MGP,4,16,CORS,SARD,300.0000,300.0000,0.0000
20251220,MGP,4,16,COAC,SARD,20.0000,125.0000,0.0000
20251220,MGP,4,16,CNOR,CORS,300.0000,300.0000,0.0000
20251220,MGP,4,16,CNOR,CSUD,2042.0000,2905.0000,0.0000
20251220,MGP,4,16,CNOR,NORD,4531.0000,3358.0000,0.0000
20251220,MGP,4,16,CALA,SICI,1618.0000,1494.0000,0.0000
20251220,MGP,4,16,CALA,SUD,2350.0000,1646.0000,0.0000
20251220,MGP,4,16,BSP,COUP,592.0000,680.0000,0.0000
20251220,MGP,4,16,AUST,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,5,17,AUST,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,5,17,BSP,COUP,592.0000,680.0000,0.0000
20251220,MGP,5,17,CALA,SICI,1624.0000,1494.0000,0.0000
20251220,MGP,5,17,CALA,SUD,2350.0000,1608.0000,0.0000
20251220,MGP,5,17,CNOR,CORS,300.0000,300.0000,0.0000
20251220,MGP,5,17,CNOR,CSUD,2071.0000,2867.0000,0.0000
20251220,MGP,5,17,CNOR,NORD,4440.0000,3108.0000,0.0000
20251220,MGP,5,17,COAC,SARD,20.0000,125.0000,0.0000
20251220,MGP,5,17,CORS,SARD,300.0000,300.0000,0.0000
20251220,MGP,5,17,COUP,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,5,17,COUP,XAUS,165.0000,337.0000,0.0000
20251220,MGP,5,17,COUP,XFRA,2160.0000,3826.0000,0.0000
20251220,MGP,5,17,CSUD,MONT,10000.0000,10000.0000,0.0000
20251220,MGP,5,17,CSUD,SARD,720.0000,870.0000,0.0000
20251220,MGP,5,17,CSUD,SUD,2400.0000,5694.0000,0.0000
20251220,MGP,5,17,FRAN,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,5,17,GREC,SUD,10000.0000,10000.0000,0.0000
20251220,MGP,5,17,NORD,SLOV,10000.0000,10000.0000,0.0000
20251220,MGP,5,17,NORD,SVIZ,10000.0000,10000.0000,0.0000
20251220,MGP,5,17,SUD,XGRE,500.0000,500.0000,0.0000
20251220,MGP,5,17,MALT,SICI,225.0000,225.0000,0.0000
20251220,MGP,5,18,MALT,SICI,225.0000,225.0000,0.0000
20251220,MGP,5,18,SUD,XGRE,500.0000,500.0000,0.0000
20251220,MGP,5,18,NORD,SLOV,10000.0000,10000.0000,0.0000
20251220,MGP,5,18,NORD,SVIZ,10000.0000,10000.0000,0.0000
20251220,MGP,5,18,GREC,SUD,10000.0000,10000.0000,0.0000
20251220,MGP,5,18,FRAN,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,5,18,CSUD,MONT,10000.0000,10000.0000,0.0000
20251220,MGP,5,18,CSUD,SARD,720.0000,870.0000,0.0000
20251220,MGP,5,18,CSUD,SUD,2400.0000,5694.0000,0.0000
20251220,MGP,5,18,COUP,NORD,10000.0000,10000.0000,0.0000
20251220,MGP,5,18,COUP,XAUS,165.0000,337.0000,0.0000
20251220,MGP,5,18,COUP,XFRA,2160.0000,3826.0000,0.0000
20251220,MGP,5,18,CORS,SARD,300.0000,300.0000,0.0000
20251220,MGP,5,18,COAC,SARD,20.0000,125.0000,0.0000
20251220,MGP,5,18,CNOR,CORS,300.0000,300.0000,0.0000
