flowdate,hour,period,market,from,to,transit
20251230,4,14,MGP,CNOR,CSUD,212.6000
20251230,4,14,MGP,CNOR,CORS,0.0000
20251230,4,14,MGP,CALA,SUD,-825.7000
20251230,4,14,MGP,CALA,SICI,1083.0000
20251230,4,14,MGP,BSP,COUP,-680.0000
20251230,4,15,MGP,BSP,COUP,-680.0000
20251230,4,15,MGP,CALA,SICI,1073.5000
20251230,4,15,MGP,CALA,SUD,-806.6000
20251230,4,15,MGP,CNOR,CORS,0.0000
20251230,4,15,MGP,CNOR,CSUD,86.4000
20251230,4,15,MGP,CNOR,NORD,-617.8000
20251230,4,15,MGP,COUP,XAUS,165.0000
20251230,4,15,MGP,COUP,XFRA,-2864.0000
20251230,4,15,MGP,CSUD,MONT,-460.0000
20251230,4,15,MGP,CSUD,SARD,-150.3000
20251230,4,15,MGP,CSUD,SUD,-757.3000
20251230,4,15,MGP,NORD,AUST,0.0000
20251230,4,15,MGP,NORD,COUP,-2019.0000
20251230,4,15,MGP,NORD,FRAN,0.0000
20251230,4,15,MGP,NORD,SLOV,0.0000
20251230,4,15,MGP,NORD,SVIZ,-857.0000
20251230,4,15,MGP,SARD,COAC,93.0000
20251230,4,15,MGP,SARD,CORS,40.0000
20251230,4,15,MGP,SICI,MALT,103.0000
20251230,4,15,MGP,SUD,XGRE,-500.0000
20251230,4,15,MGP,SUD,GREC,0.0000
20251230,4,16,MGP,SUD,GREC,0.0000
20251230,4,16,MGP,SUD,XGRE,-500.0000
20251230,4,16,MGP,SICI,MALT,103.0000
20251230,4,16,MGP,SARD,CORS,40.0000
20251230,4,16,MGP,SARD,COAC,93.0000
20251230,4,16,MGP,NORD,SVIZ,-856.0000
20251230,4,16,MGP,NORD,SLOV,0.0000
20251230,4,16,MGP,NORD,FRAN,0.0000
20251230,4,16,MGP,NORD,COUP,-2019.0000
20251230,4,16,MGP,NORD,AUST,0.0000
20251230,4,16,MGP,CSUD,SUD,-704.0000
20251230,4,16,MGP,CSUD,SARD,-153.7000
20251230,4,16,MGP,CSUD,MONT,-460.0000
20251230,4,16,MGP,COUP,XFRA,-2864.0000
20251230,4,16,MGP,COUP,XAUS,165.0000
20251230,4,16,MGP,CNOR,NORD,-706.6000
20251230,4,16,MGP,CNOR,CSUD,163.8000
20251230,4,16,MGP,CNOR,CORS,0.0000
20251230,4,16,MGP,CALA,SUD,-807.0000
20251230,4,16,MGP,CALA,SICI,1070.7000
20251230,4,16,MGP,BSP,COUP,-680.0000
20251230,5,17,MGP,BSP,COUP,-680.0000
20251230,5,17,MGP,CALA,SICI,984.8000
20251230,5,17,MGP,CALA,SUD,-720.3000
20251230,5,17,MGP,CNOR,CORS,0.0000
20251230,5,17,MGP,CNOR,CSUD,58.6980
20251230,5,17,MGP,CNOR,NORD,-595.2330
20251230,5,17,MGP,COUP,XAUS,165.0000
20251230,5,17,MGP,COUP,XFRA,-2864.0000
20251230,5,17,MGP,CSUD,MONT,-508.0000
20251230,5,17,MGP,CSUD,SARD,-27.5430
20251230,5,17,MGP,CSUD,SUD,-791.6000
20251230,5,17,MGP,NORD,AUST,0.0000
20251230,5,17,MGP,NORD,COUP,-2019.0000
20251230,5,17,MGP,NORD,FRAN,0.0000
20251230,5,17,MGP,NORD,SLOV,0.0000
20251230,5,17,MGP,NORD,SVIZ,-888.0000
20251230,5,17,MGP,SARD,COAC,92.0000
20251230,5,17,MGP,SARD,CORS,40.0000
20251230,5,17,MGP,SICI,MALT,82.0000
20251230,5,17,MGP,SUD,GREC,0.0000
20251230,5,17,MGP,SUD,XGRE,-500.0000
20251230,5,18,MGP,SUD,XGRE,-500.0000
20251230,5,18,MGP,SUD,GREC,0.0000
20251230,5,18,MGP,SICI,MALT,83.0000
20251230,5,18,MGP,SARD,CORS,40.0000
20251230,5,18,MGP,SARD,COAC,92.0000
20251230,5,18,MGP,NORD,SVIZ,-888.0000
